"StartDate","EndDate","Status","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","consent","ORIENT_1_1","ORIENT_1_2","ORIENT_1_3","ORIENT_1_4","ORIENT_1_5","ORIENT_2_1","ORIENT_2_2","ORIENT_2_3","ORIENT_2_4","ORIENT_2_5","MISTRUST_EX_1","MISTRUST_EX_2","MISTRUST_EX_3","MISTRUST_EX_4","MISTRUST_EX_5","MISTRUST_EX_6","Q54_First Click","Q54_Last Click","Q54_Page Submit","Q54_Click Count","Q56_First Click","Q56_Last Click","Q56_Page Submit","Q56_Click Count","COMP_1","COMP_2","COMP_3","COMP_4","BENEV_1","BENEV_2","BENEV_3","BENEV_4","INTEG_1","INTEG_2","INTEG_3","INTEG_4","AD_TRUST_1","AD_TRUST_2","AD_TRUST_3","AD_TRUST_4","AD_TRUST_5","LIKE","AGREE","SELF_TAR","PERC_ID","SM_TRUST_1","SM_TRUST_2","REG_TRUST_1","DATA_ACCEPT","MEM_PAID","MEM_TAR","FIR_1","FIR_2","FIR_3","FIR_4","FIR_5","FIR_6","FIR_7","FIR_8","SM_USE_1","SM_USE_2","PARTY_IDENT","PARTY_IDENT_10_TEXT","LEFT_RIGHT","POL_INT","ELECT_PAR_1","ELECT_PAR_2","ELECT_PAR_3","ELECT_PAR_4","ELECT_PAR_5","ELECT_PAR_6","AGE","GENDER","EDUCATION","EDUCATION_6_TEXT","debrief","Condition"
"02/06/2023 12:03","02/06/2023 12:13","IP Address",100,593,"TRUE","02/06/2023 12:13","R_2uQgDOnxxLmSaSB","anonymous","EN","I understand the above statements and I consent to take part in the study","Neither agree nor disagree","Strongly agree","Disagree","Somewhat disagree","Somewhat agree","Disagree","Agree","Neither agree nor disagree","Somewhat disagree","Disagree","Agree","Somewhat disagree","Strongly disagree","Strongly disagree","Neither agree nor disagree","Disagree",8.272,56.871,58.74,4,,,,,"Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Agree","Somewhat disagree","Agree","Somewhat agree","Disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Like somewhat","Somewhat agree","Somewhat targeted","Slightly left leaning","Disagree","Strongly disagree","Somewhat disagree","Somewhat unacceptable","No","Yes","Neither agree nor disagree","Strongly agree","Strongly agree","Agree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Rarely","Rarely","Liberal Democrat",,"Neither left nor right leaning","Somewhat interested","No, I have not","No, I have not","No, I have not","No, I have not","Yes, I have","No, I have not",58,"Female","Undergraduate University (e.g., BA, B.Sc or B.Ed)",,,0
"02/06/2023 12:05","02/06/2023 12:13","IP Address",100,496,"TRUE","02/06/2023 12:13","R_10D9JW1386ZO2t4","anonymous","EN","I understand the above statements and I consent to take part in the study","Agree","Agree","Somewhat agree","Disagree","Somewhat disagree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Agree","Somewhat agree",38.655,38.655,50.876,1,,,,,"Agree","Disagree","Somewhat disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Somewhat disagree","Agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Like somewhat","Somewhat agree","Somewhat targeted","Slightly left leaning","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat acceptable","No","No","Disagree","Disagree","Agree","Somewhat disagree","Agree","Agree","Agree","Agree","Rarely","Rarely","Liberal Democrat",,"Neither left nor right leaning","Somewhat interested","No, I have not","No, I have not","No, I have not","No, I have not","Yes, I have","No, I have not",45,"Female","Postgraduate (e.g., M.Sc or Ph.D)",,,0
"02/06/2023 11:59","02/06/2023 12:13","IP Address",100,888,"TRUE","02/06/2023 12:13","R_30jFJMhKErs0YEH","anonymous","EN","I understand the above statements and I consent to take part in the study","Somewhat disagree","Agree","Disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Agree","Neither agree nor disagree","Agree","Somewhat agree","Strongly disagree","Strongly agree","Strongly agree",0,0,113.264,0,,,,,"Somewhat agree","Neither agree nor disagree","Disagree","Somewhat agree","Strongly disagree","Agree","Strongly disagree","Agree","Somewhat agree","Disagree","Strongly disagree","Agree","Strongly agree","Disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Like somewhat","Somewhat agree","Mostly targeted","Slightly left leaning","Strongly disagree","Disagree","Somewhat disagree","Somewhat unacceptable","No","No","Disagree","Strongly agree","Agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Never","Never","Labour",,"Fairly left leaning","Very interested","No, I have not","No, I have not","No, I have not","Yes, I have","Yes, I have","No, I have not",70,"Female","Undergraduate University (e.g., BA, B.Sc or B.Ed)",,,0
"02/06/2023 12:05","02/06/2023 12:13","IP Address",100,504,"TRUE","02/06/2023 12:13","R_2ure0pXii3siB4C","anonymous","EN","I understand the above statements and I consent to take part in the study","Disagree","Somewhat disagree","Disagree","Somewhat agree","Somewhat disagree","Disagree","Somewhat agree","Agree","Somewhat disagree","Somewhat agree","Disagree","Somewhat agree","Somewhat agree","Strongly disagree","Strongly agree","Agree",0,0,33.977,0,,,,,"Agree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Disagree","Agree","Strongly disagree","Agree","Somewhat agree","Strongly disagree","Disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly disagree","Strongly disagree","Like somewhat","Completely agree","Mostly targeted","Strongly left leaning","Disagree","Disagree","Disagree","Mostly unacceptable ","No","No","Somewhat agree","Agree","Agree","Agree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","fairly often","fairly often","Labour",,"Fairly left leaning","Very interested","No, I have not","No, I have not","No, I have not","Yes, I have","Yes, I have","Yes, I have",63,"Female","Postgraduate (e.g., M.Sc or Ph.D)",,,0
"02/06/2023 12:08","02/06/2023 12:13","IP Address",100,309,"TRUE","02/06/2023 12:13","R_3q7CowK9Q981OjH","anonymous","EN","I understand the above statements and I consent to take part in the study","Somewhat agree","Somewhat disagree","Disagree","Somewhat disagree","Disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Agree","Somewhat disagree","Agree","Neither agree nor disagree","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree",,,,,0,0,40.931,0,"Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Like somewhat","Somewhat agree","Somewhat targeted","Slightly left leaning","Disagree","Disagree","Somewhat agree","Somewhat unacceptable","Yes","No","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Agree","Somewhat agree","Somewhat agree","Never","Never","Labour",,"Slightly left leaning","Somewhat interested","No, I have not","No, I have not","No, I have not","Yes, I have","Yes, I have","No, I have not",44,"Male","GCSE level, or equivelent",,,1
"02/06/2023 12:00","02/06/2023 12:14","IP Address",100,786,"TRUE","02/06/2023 12:14","R_8IYmtlBTdXxVE53","anonymous","EN","I understand the above statements and I consent to take part in the study","Neither agree nor disagree","Agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Disagree","Strongly disagree","Somewhat agree","Disagree",,,,,167.115,313.451,315.219,3,"Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Neither like nor dislike","Somewhat agree","Somewhat targeted","Neither left nor right leaning","Disagree","Disagree","Neither agree nor disagree","Somewhat unacceptable","No","Yes","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Rarely","Rarely","Conservative",,"Slightly right leaning","Mostly uninterested","No, I have not","No, I have not","No, I have not","No, I have not","No, I have not","No, I have not",50,"Female","Undergraduate University (e.g., BA, B.Sc or B.Ed)",,,1
"02/06/2023 12:06","02/06/2023 12:14","IP Address",100,453,"TRUE","02/06/2023 12:14","R_1DHDbSqUbhRkfXj","anonymous","EN","I understand the above statements and I consent to take part in the study","Somewhat disagree","Agree","Strongly disagree","Somewhat agree","Agree","Strongly disagree","Strongly agree","Agree","Somewhat disagree","Agree","Disagree","Agree","Somewhat agree","Strongly disagree","Disagree","Agree",0,0,66.455,0,,,,,"Somewhat agree","Disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Disagree","Disagree","Neither like nor dislike","Somewhat agree","Mostly not targeted ","Slightly left leaning","Disagree","Disagree","Disagree","Somewhat unacceptable","No","No","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Rarely","Rarely","Green Party",,"Fairly left leaning","Somewhat interested","No, I have not","No, I have not","No, I have not","No, I have not","Yes, I have","No, I have not",34,"Female","Postgraduate (e.g., M.Sc or Ph.D)",,,0
"02/06/2023 12:05","02/06/2023 12:14","IP Address",100,493,"TRUE","02/06/2023 12:14","R_3eqSMrbALpnQkwu","anonymous","EN","I understand the above statements and I consent to take part in the study","Neither agree nor disagree","Agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly disagree","Somewhat agree","Somewhat agree",30.155,43.519,44.538,2,,,,,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Like somewhat","Neither agree or disagree","Somewhat targeted","Neither left nor right leaning","Disagree","Disagree","Neither agree nor disagree","Somewhat unacceptable","No","No","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","fairly often","fairly often","Green Party",,"Fairly left leaning","Very interested","No, I have not","No, I have not","No, I have not","Yes, I have","No, I have not","No, I have not",51,"Female","Undergraduate University (e.g., BA, B.Sc or B.Ed)",,,0
"02/06/2023 12:02","02/06/2023 12:14","IP Address",100,718,"TRUE","02/06/2023 12:14","R_Y36rWuUIiY8WLtf","anonymous","EN","I understand the above statements and I consent to take part in the study","Disagree","Agree","Disagree","Strongly agree","Strongly agree","Strongly disagree","Agree","Agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly disagree","Agree","Agree",,,,,37.894,37.894,41.916,1,"Agree","Strongly disagree","Disagree","Agree","Strongly disagree","Somewhat agree","Disagree","Strongly agree","Agree","Disagree","Neither agree nor disagree","Somewhat agree","Agree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Like somewhat","Completely agree","Mostly targeted","Neither left nor right leaning","Somewhat agree","Disagree","Agree","Not at all acceptable","No","No","Somewhat disagree","Disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Never","slightly often","Other","Heritage Party","Neither left nor right leaning","Somewhat interested","No, I have not","No, I have not","No, I have not","No, I have not","No, I have not","No, I have not",48,"Male","A level, or equivelent",,,1
"02/06/2023 12:09","02/06/2023 12:14","IP Address",100,303,"TRUE","02/06/2023 12:14","R_3si7sBoT2QhvnVD","anonymous","EN","I understand the above statements and I consent to take part in the study","Disagree","Strongly agree","Strongly disagree","Agree","Neither agree nor disagree","Somewhat disagree","Agree","Agree","Disagree","Agree","Disagree","Strongly disagree","Disagree","Strongly disagree","Neither agree nor disagree","Disagree",,,,,0,0,74.402,0,"Somewhat agree","Disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Agree","Strongly disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Disagree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Like somewhat","Somewhat agree","Somewhat targeted","Slightly left leaning","Strongly disagree","Disagree","Somewhat disagree","Mostly unacceptable ","No","No","Somewhat disagree","Agree","Agree","Agree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","slightly often","slightly often","Green Party",,"Slightly left leaning","Mostly uninterested","No, I have not","No, I have not","No, I have not","No, I have not","No, I have not","No, I have not",47,"Female","Undergraduate University (e.g., BA, B.Sc or B.Ed)",,,1
